#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2014 05 15 11 50   2  2.7  4.3 99.00 99.00 99.00 999 1022.7   5.0 999.0 999.0 99.0 99.00
2014 05 15 12 50   3  2.8  4.6  0.02 99.00  9.95 999 1022.7   5.2 999.0 999.0 99.0 99.00
2014 05 15 13 50  23  1.5  3.4  0.01 99.00  7.54 999 1023.0   5.5 999.0 999.0 99.0 99.00
2014 05 15 14 50  39  1.9  3.1  0.01 99.00  8.41 999 1022.9   4.5 999.0 999.0 99.0 99.00
2014 05 15 15 50  54  1.8  2.8  0.01 99.00  8.26 999 1022.8   4.0 999.0 999.0 99.0 99.00
2014 05 15 16 50  34  1.7  3.0  0.01 99.00  8.43 999 1022.6   5.1 999.0 999.0 99.0 99.00
2014 05 15 17 50  34  1.8  3.0  0.01 99.00  7.65 999 1022.2   5.0 999.0 999.0 99.0 99.00
2014 05 15 18 50  55  1.8  2.6  0.01 99.00  8.05 999 1021.8   5.2 999.0 999.0 99.0 99.00
2014 05 15 19 50  44  1.5  2.3  0.01 99.00  7.07 999 1021.6   4.8 999.0 999.0 99.0 99.00
2014 05 15 20 50  68  1.5  2.4 99.00 99.00 99.00 999 1021.0   5.0 999.0 999.0 99.0 99.00
2014 05 15 21 50  36  1.2  2.5  0.01 99.00  8.42 999 1020.7   4.5 999.0 999.0 99.0 99.00
2014 05 15 22 50  58  1.5  2.5  0.01 99.00  8.03 999 1020.4   4.3 999.0 999.0 99.0 99.00
2014 05 15 23 50  54  0.5  1.6 99.00 99.00 99.00 999 1020.4   4.0 999.0 999.0 99.0 99.00
2014 05 16 00 50  36  0.6  1.6  0.01 99.00  7.77 999 1020.6   3.7 999.0 999.0 99.0 99.00
2014 05 16 01 50 180  0.0  0.4  0.01 99.00  7.88 999 1020.4   4.0 999.0 999.0 99.0 99.00
2014 05 16 02 50 164  0.1  0.7  0.01 99.00  8.40 999 1020.3   5.5 999.0 999.0 99.0 99.00
2014 05 16 03 50 232  1.0  1.8  0.01 99.00  7.79 999 1020.0   6.4 999.0 999.0 99.0 99.00
2014 05 16 04 50 303  2.6  3.7  0.01 99.00  7.27 999 1019.5   7.4 999.0 999.0 99.0 99.00
2014 05 16 05 50 299  3.9  5.3  0.01 99.00  8.50 999 1018.9   7.2 999.0 999.0 99.0 99.00
2014 05 16 06 50 304  3.7  5.5  0.01 99.00  8.32 999 1018.4   6.9 999.0 999.0 99.0 99.00
2014 05 16 07 50 311  3.3  4.7  0.01 99.00  7.84 999 1018.2   6.7 999.0 999.0 99.0 99.00
2014 05 16 08 50 319  3.8  5.5 99.00 99.00 99.00 999 1018.2   6.3 999.0 999.0 99.0 99.00
2014 05 16 09 50 330  2.6  4.3 99.00 99.00 99.00 999 1018.1   6.2 999.0 999.0 99.0 99.00
2014 05 16 10 50 349  1.5  2.8  0.01 99.00  7.99 999 1018.1   5.7 999.0 999.0 99.0 99.00
2014 05 16 11 50  69  1.0  2.2  0.01 99.00  8.29 999 1018.2   5.0 999.0 999.0 99.0 99.00
2014 05 16 12 50 180  0.0  0.0  0.01 99.00  7.63 999 1018.4   6.3 999.0 999.0 99.0 99.00
2014 05 16 13 50 105  1.3  2.2  0.01 99.00  7.37 999 1018.3   6.7 999.0 999.0 99.0 99.00
2014 05 16 14 50  23  1.9  4.0  0.01 99.00  7.22 999 1018.1   7.7 999.0 999.0 99.0 99.00
2014 05 16 15 50 104  1.4  3.1  0.01 99.00  7.56 999 1017.7   8.1 999.0 999.0 99.0 99.00
2014 05 16 16 50 346  2.1  3.7  0.01 99.00  7.52 999 1017.4   8.9 999.0 999.0 99.0 99.00
2014 05 16 17 50 110  1.6  4.2  0.01 99.00  8.04 999 1016.9   9.1 999.0 999.0 99.0 99.00
2014 05 16 18 50 108  2.2  3.8  0.01 99.00  7.95 999 1016.6   9.4 999.0 999.0 99.0 99.00
2014 05 16 19 50 124  2.7  4.3  0.01 99.00  8.56 999 1016.3   9.5 999.0 999.0 99.0 99.00
2014 05 16 20 50 132  2.5  4.9  0.01 99.00  8.66 999 1016.0   9.6 999.0 999.0 99.0 99.00
2014 05 16 21 50 102  2.1  3.7  0.01 99.00  8.12 999 1016.0   8.8 999.0 999.0 99.0 99.00
2014 05 16 22 50  48  1.9  3.2 99.00 99.00 99.00 999 1016.1   7.1 999.0 999.0 99.0 99.00
2014 05 16 23 50  24  1.2  3.0  0.01 99.00  8.42 999 1016.1   8.5 999.0 999.0 99.0 99.00
2014 05 17 00 50  56  1.5  2.3 99.00 99.00 99.00 999 1016.4   6.8 999.0 999.0 99.0 99.00
2014 05 17 01 50  45  1.5  2.3  0.01 99.00  8.81 999 1016.6   4.6 999.0 999.0 99.0 99.00
2014 05 17 02 50  58  0.8  1.2 99.00 99.00 99.00 999 1016.9   4.2 999.0 999.0 99.0 99.00
2014 05 17 03 50 191  0.8  1.3  0.01 99.00  8.38 999 1016.6   5.9 999.0 999.0 99.0 99.00
2014 05 17 04 50 243  0.9  1.5  0.01 99.00  8.32 999 1016.3   7.0 999.0 999.0 99.0 99.00
2014 05 17 05 50 228  1.1  2.5  0.01 99.00  8.39 999 1016.2   6.2 999.0 999.0 99.0 99.00
2014 05 17 06 50 180  0.0  0.0  0.01 99.00  8.58 999 1016.1   3.6 999.0 999.0 99.0 99.00
2014 05 17 07 50 207  1.2  2.5  0.01 99.00  8.24 999 1015.8   5.2 999.0 999.0 99.0 99.00
2014 05 17 08 50 217  0.8  2.1  0.01 99.00  8.23 999 1015.7   5.2 999.0 999.0 99.0 99.00
2014 05 17 09 50 198  2.6  3.9  0.01 99.00  7.40 999 1015.5   6.2 999.0 999.0 99.0 99.00
2014 05 17 10 50 209  1.7  3.4  0.01 99.00  8.66 999 1015.6   6.0 999.0 999.0 99.0 99.00
2014 05 17 11 50 206  1.6  4.3  0.01 99.00  8.32 999 1015.7   5.0 999.0 999.0 99.0 99.00
2014 05 17 12 50 199  2.8  4.2  0.01 99.00  8.88 999 1015.6   7.6 999.0 999.0 99.0 99.00
2014 05 17 13 50 227  1.1  2.5 99.00 99.00 99.00 999 1015.3   9.9 999.0 999.0 99.0 99.00
2014 05 17 14 50 215  0.9  2.4  0.01 99.00  7.39 999 1015.0  11.8 999.0 999.0 99.0 99.00
2014 05 17 15 50 206  2.0  4.5  0.01 99.00  7.28 999 1014.7  13.3 999.0 999.0 99.0 99.00
2014 05 17 16 50 301  5.9  8.8  0.01 99.00  7.39 999 1014.5  14.3 999.0 999.0 99.0 99.00
2014 05 17 17 50 311  3.5  6.7  0.02 99.00  9.56 999 1014.1  15.3 999.0 999.0 99.0 99.00
2014 05 17 18 50 298  3.2  6.5  0.01 99.00  7.72 999 1013.7  16.0 999.0 999.0 99.0 99.00
2014 05 17 19 50 261  3.5  5.3  0.01 99.00  7.46 999 1013.2  16.5 999.0 999.0 99.0 99.00
2014 05 17 20 50 254  2.2  6.1  0.01 99.00  8.35 999 1013.0  17.5 999.0 999.0 99.0 99.00
2014 05 17 21 50 264  4.7  7.3  0.01 99.00  7.60 999 1012.9  17.5 999.0 999.0 99.0 99.00
2014 05 17 22 50 284  4.2  8.6  0.02 99.00  8.85 999 1012.9  17.9 999.0 999.0 99.0 99.00
2014 05 17 23 50 288  2.9  4.6  0.01 99.00  8.86 999 1012.9  18.4 999.0 999.0 99.0 99.00
2014 05 18 00 50 262  1.4  2.4  0.01 99.00  7.58 999 1013.0  18.1 999.0 999.0 99.0 99.00
2014 05 18 01 50 203  0.1  0.5  0.01 99.00  7.10 999 1013.3  15.9 999.0 999.0 99.0 99.00
2014 05 18 02 50 264  2.8  4.1  0.01 99.00  8.42 999 1013.9  17.1 999.0 999.0 99.0 99.00
2014 05 18 03 50 261  2.5  3.2  0.01 99.00  8.58 999 1014.0  15.5 999.0 999.0 99.0 99.00
2014 05 18 04 50 237  2.2  3.6 99.00 99.00 99.00 999 1014.2  13.5 999.0 999.0 99.0 99.00
2014 05 18 05 50 231  2.5  4.3  0.01 99.00  7.55 999 1014.5  13.2 999.0 999.0 99.0 99.00
2014 05 18 06 50 229  1.7  3.5  0.01 99.00  8.14 999 1014.4  12.2 999.0 999.0 99.0 99.00
2014 05 18 07 50 221  1.6  3.0 99.00 99.00 99.00 999 1014.6  11.3 999.0 999.0 99.0 99.00
2014 05 18 08 50 221  1.5  3.6  0.01 99.00  8.52 999 1014.7  11.0 999.0 999.0 99.0 99.00
2014 05 18 09 50 233  3.6  4.9  0.01 99.00  8.53 999 1015.0  10.7 999.0 999.0 99.0 99.00
2014 05 18 10 50 225  2.4  5.4 99.00 99.00 99.00 999 1015.4  11.9 999.0 999.0 99.0 99.00
2014 05 18 11 50 232  2.2  3.6  0.01 99.00  6.92 999 1015.7  10.8 999.0 999.0 99.0 99.00
2014 05 18 12 50 204  1.5  3.1  0.01 99.00  8.68 999 1015.8  11.5 999.0 999.0 99.0 99.00
2014 05 18 13 50 231  2.6  4.0 99.00 99.00 99.00 999 1015.8  12.7 999.0 999.0 99.0 99.00
2014 05 18 14 50 216  1.2  2.9  0.01 99.00  7.00 999 1015.7  15.9 999.0 999.0 99.0 99.00
2014 05 18 15 50 215  1.6  4.5  0.01 99.00  7.29 999 1015.5  18.3 999.0 999.0 99.0 99.00
2014 05 18 16 50 245  7.6 11.4  0.01 99.00  8.27 999 1015.1  20.0 999.0 999.0 99.0 99.00
2014 05 18 17 50 234  3.8  6.5  0.01 99.00  7.98 999 1014.7  20.1 999.0 999.0 99.0 99.00
2014 05 18 18 50 238  5.4  8.9  0.01 99.00  7.59 999 1014.4  20.5 999.0 999.0 99.0 99.00
2014 05 18 19 50 224  2.4  5.0  0.02 99.00  8.81 999 1014.3  20.2 999.0 999.0 99.0 99.00
2014 05 18 20 50 228  3.9  8.0  0.02 99.00  9.10 999 1014.0  20.7 999.0 999.0 99.0 99.00
