                Great Lakes Average Ice Concentration

------------------------------------------------------------------
                       Ice Concentration (%)
 
Year Day    Sup.   Mich.   Huron    Erie    Ont.  St.Clr  GL Total
2012 015    3.29    4.52    5.86    0.00    0.83    0.37    3.68
2012 016    2.96    6.12   10.84    2.74    1.12   41.25    5.54
2012 017    1.69    4.14    9.43    1.59    0.95   38.97    4.17
2012 018    3.71    6.47   11.78    1.18    0.79   41.43    5.95
2012 019    3.86    8.21   12.43    0.78    0.75   56.94    6.58
2012 020    5.62   16.44   21.79    2.35    1.04   61.04   11.49
2012 021    5.86   16.72   20.95   13.93    1.28   89.53   12.65
2012 022    8.28   13.94   22.90   12.23    1.28   93.70   13.23
2012 023    6.53   11.01   15.33   12.52    0.95   90.85   10.12
2012 024    4.83    9.72   11.77    8.03    1.70   53.30    7.84
2012 025    5.17   11.18   10.99    7.35    1.07   45.69    7.97
2012 026    8.54   12.48   16.76   11.68    3.37   68.73   11.54
2012 027    2.71    7.23   12.11    6.99    0.96   56.63    6.45
2012 028    2.69    6.98    9.56    4.02    1.25   33.57    5.43
2012 029    2.50    6.01    8.63    3.54    2.50   33.39    4.97
2012 030    5.64    6.74   13.11    2.27    0.98    3.83    7.00
2012 031    6.57    8.94   13.87    7.89    1.00   38.26    8.68
2012 032    3.49    8.89   12.49    1.41    0.87   31.53    6.58
2012 033    3.57    8.69   11.48    1.21    0.87   20.40    6.26
2012 034    3.55    8.72   11.42    0.98    0.96   15.41    6.21
2012 035    3.55    8.70   11.40    0.98    0.96   15.41    6.20
2012 036    3.24    9.20   12.84    1.18    1.34   15.83    6.59
2012 037    2.65    6.89   11.81    1.05    1.08    7.20    5.54
2012 038    2.78    7.51   10.27    0.58    0.93    4.85    5.30
2012 039    2.80    8.57   10.14    0.61    0.92    6.47    5.52
2012 040    3.04    7.92    9.04    0.53    0.88    1.39    5.17
2012 041    3.15    7.34    8.57    0.32    0.85    0.71    4.94
2012 042    2.81    7.60   12.15    0.39    0.88    1.37    5.74
2012 043    3.53   10.18   16.60    1.59    0.86   26.00    7.86
2012 044    5.17   12.76   14.63    9.01    1.21   89.43    9.53
2012 045    5.85    9.15   12.28   10.85    1.18   71.13    8.50
2012 046    5.46    8.92   11.56   11.07    1.26   64.31    8.14
2012 047    4.50    8.91   12.06    5.29    1.82   77.40    7.46
2012 048    4.42    7.56   12.11    2.66    2.37   47.95    6.81
2012 049    2.80    7.52   11.41    2.59    1.22   50.31    5.97
2012 050    2.84    7.44   10.85    1.16    0.81   27.10    5.57
2012 051    5.50    8.63   11.49    1.20    0.98   26.23    6.98
2012 052    4.86    9.66   12.46    0.80    0.81   19.97    7.14
2012 053    2.72    7.29   11.70    0.85    0.80   20.47    5.64
2012 054    2.36    6.42    9.66    0.01    0.76    5.91    4.69
2012 055    2.30    6.13    9.78    0.01    0.74    4.63    4.63
2012 056    2.27    6.10    9.77    0.01    0.73    4.70    4.61
2012 057    2.44    5.83    9.79    0.00    0.73    2.82    4.61
2012 058    4.35    6.41   13.42    0.00    0.61    2.96    6.29
2012 059    4.44    7.08   11.80    0.00    0.79    0.35    6.09
2012 060    4.81    6.50   11.19    0.00    0.79    1.53    5.95
2012 061    2.69    7.06   10.74    0.00    0.54    1.11    5.18
2012 062    4.33    7.62   12.11    0.00    0.60    1.25    6.24
2012 063    2.98    6.65   10.86    0.33    0.39    0.07    5.24
2012 064    4.53    6.42   12.97    0.00    0.48    0.00    6.23
2012 065    6.04   12.50   23.16    0.00    0.38    0.00   10.57
2012 066    4.13    8.30   20.70    0.00    0.32    0.00    8.34
2012 067    2.79    6.81   10.42    0.00    0.26    0.00    5.06
2012 068    2.34    5.12   10.15    0.00    0.32    0.00    4.46
2012 069    1.92    4.18    9.23    0.00    0.31    0.00    3.87
2012 070    2.18    3.67    9.65    0.00    0.31    0.00    3.95
2012 071    2.98    4.78    9.41    0.00    0.37    0.00    4.44
2012 072    2.42    3.05    8.71    0.00    0.34    0.00    3.67
2012 073    2.04    2.27    8.53    0.00    0.24    0.00    3.31
2012 074    1.88    1.88    7.68    0.00    0.04    0.00    2.95
2012 075    1.86    2.04    7.43    0.00    0.06    0.00    2.91
2012 076    1.88    2.31    8.19    0.00    0.00    0.00    3.16
2012 077    1.94    3.04    8.76    0.00    0.00    0.00    3.48
2012 078    1.84    2.11    7.75    0.00    0.00    0.00    3.00
2012 079    1.38    0.69    6.54    0.00    0.00    0.00    2.22
2012 080    1.35    0.54    5.76    0.00    0.00    0.00    1.99
2012 081    1.35    0.39    5.36    0.00    0.00    0.00    1.86
2012 082    1.33    0.30    4.64    0.00    0.00    0.00    1.66
2012 083    1.23    0.29    4.47    0.00    0.00    0.00    1.58
2012 084    1.17    0.03    2.43    0.00    0.00    0.00    1.01
2012 085    1.15    0.04    2.04    0.00    0.00    0.00    0.91
2012 086    0.96    0.00    0.17    0.00    0.00    0.00    0.39
2012 087    0.98    0.00    0.40    0.00    0.00    0.00    0.45
2012 088    0.91    0.00    0.15    0.00    0.00    0.00    0.37
2012 089    0.85    0.00    0.14    0.00    0.00    0.00    0.35
2012 090    0.85    0.00    0.16    0.00    0.00    0.00    0.35
2012 091    0.78    0.00    0.07    0.00    0.00    0.00    0.30
2012 092    0.79    0.00    0.06    0.00    0.00    0.00    0.30
2012 093    0.75    0.00    0.02    0.00    0.00    0.00    0.28
2012 094    0.74    0.00    0.04    0.00    0.00    0.00    0.28
2012 095    0.57    0.00    0.02    0.00    0.00    0.00    0.21
2012 096    0.62    0.00    0.03    0.00    0.00    0.00    0.23
2012 097    0.53    0.00    0.01    0.00    0.00    0.00    0.20
2012 098    0.61    0.00    0.02    0.00    0.00    0.00    0.23
2012 099    0.54    0.00    0.04    0.00    0.00    0.00    0.21
2012 100    0.28    0.00    0.00    0.00    0.00    0.00    0.10
2012 101    0.08    0.00    0.00    0.00    0.00    0.00    0.03
2012 102    0.01    0.00    0.00    0.00    0.00    0.00    0.00
2012 103    0.00    0.00    0.00    0.00    0.00    0.00    0.00
2012 104    0.00    0.00    0.00    0.00    0.00    0.00    0.00
