                Great Lakes Average Ice Concentration

------------------------------------------------------------------
                       Ice Concentration (%)
 
Year Day    Sup.   Mich.   Huron    Erie    Ont.  St.Clr  GL Total
2015 097   57.87   11.30   42.67   46.07   13.18    0.00   39.15
2015 098   60.15   13.98   43.57   47.04   14.51    0.00   40.99
2015 099   58.85   12.83   43.85   48.48   14.51    0.00   40.45
2015 100   58.85   13.91   41.76   42.97    6.94    0.00   39.13
2015 101   40.47    8.51   30.82   29.25    7.05    0.00   27.31
2015 102   40.42    8.60   29.77   28.21    4.27    0.00   26.76
2015 103   37.69    8.08   27.42   28.83    4.30    0.00   25.15
2015 104   28.57    5.56   23.04   28.96    2.85    0.00   20.11
2015 105   27.52    5.30   23.00   25.74    2.27    0.00   19.31
2015 106   27.00    5.05   25.28   22.53    2.23    0.00   19.31
2015 107   25.65    5.12   23.66   16.05    1.18    0.00   17.76
2015 108   22.67    4.03   22.59   14.67    1.14    0.00   16.03
2015 109   21.36    3.12   21.21    6.13    0.56    0.00   14.18
2015 110   14.72    1.90    6.74    0.00    0.00    0.00    7.41
2015 111   21.69    1.82   18.88    0.22    0.02    0.00   12.86
2015 112   15.02    0.65   13.24    0.03    0.00    0.00    8.80
2015 113   13.96    0.65    9.78    0.00    0.00    0.00    7.58
2015 114   13.59    0.46    9.55    0.00    0.00    0.00    7.34
2015 115   14.95    0.21    9.00    0.00    0.00    0.00    7.66
2015 116   13.97    0.36    9.43    0.00    0.00    0.00    7.43
2015 117   12.60    0.29    8.32    0.00    0.00    0.00    6.65
2015 118   12.91    0.29    8.58    0.00    0.00    0.00    6.83
2015 119   12.47    0.04    7.85    0.00    0.00    0.00    6.44
2015 120   11.97    0.02    5.51    0.00    0.00    0.00    5.69
2015 121   11.56    0.01    5.60    0.00    0.00    0.00    5.56
2015 122   11.04    0.02    5.34    0.00    0.00    0.00    5.31
2015 123   10.59    0.02    3.71    0.00    0.00    0.00    4.76
2015 124    8.68    0.01    2.92    0.00    0.00    0.00    3.87
2015 125    7.35    0.01    1.13    0.00    0.00    0.00    2.96
2015 126    8.10    0.00    0.98    0.00    0.00    0.00    3.19
2015 127    8.08    0.00    1.05    0.00    0.00    0.00    3.20
2015 128    5.53    0.00    0.62    0.00    0.00    0.00    2.17
2015 129    4.54    0.00    0.35    0.00    0.00    0.00    1.75
2015 130    3.63    0.00    0.36    0.00    0.00    0.00    1.41
2015 131    3.19    0.00    0.29    0.00    0.00    0.00    1.23
2015 132    3.16    0.00    0.29    0.00    0.00    0.00    1.23
2015 133    2.13    0.00    0.04    0.00    0.00    0.00    0.79
2015 134    2.26    0.00    0.07    0.00    0.00    0.00    0.84
2015 135    1.64    0.00    0.02    0.00    0.00    0.00    0.60
2015 136    1.38    0.00    0.01    0.00    0.00    0.00    0.51
2015 137    1.29    0.00    0.00    0.00    0.00    0.00    0.47
2015 138    1.00    0.00    0.00    0.00    0.00    0.00    0.37
2015 139    0.63    0.00    0.00    0.00    0.00    0.00    0.23
2015 140    0.45    0.00    0.00    0.00    0.00    0.00    0.16
2015 141    0.48    0.00    0.00    0.00    0.00    0.00    0.18
2015 142    0.16    0.00    0.00    0.00    0.00    0.00    0.06
2015 144    0.13    0.00    0.00    0.00    0.00    0.00    0.05
2015 145    0.03    0.00    0.00    0.00    0.00    0.00    0.01
2015 146    0.02    0.00    0.00    0.00    0.00    0.00    0.01
2015 147    0.02    0.00    0.00    0.00    0.00    0.00    0.01
2015 148    0.00    0.00    0.00    0.00    0.00    0.00    0.00
2015 149    0.00    0.00    0.00    0.00    0.00    0.00    0.00
2015 150    0.00    0.00    0.00    0.00    0.00    0.00    0.00
2015 151    0.00    0.00    0.00    0.00    0.00    0.00    0.00
