                Great Lakes Average Ice Concentration

------------------------------------------------------------------
                       Ice Concentration (%)
 
Year Day    Sup.   Mich.   Huron    Erie    Ont.  St.Clr  GL Total
2011 027   12.54   22.45   40.50   88.49   18.10   99.26   29.30
2011 028    9.55   21.53   39.54   81.73   17.66   99.13   27.11
2011 029   10.31   19.70   45.94   83.15   18.05   99.10   28.66
2011 030   15.26   19.63   49.10   84.12   20.20   99.06   31.45
2011 031   16.51   26.31   52.81   89.16   19.29   98.94   34.71
2011 032   18.58   24.83   59.72   95.78   23.40   98.47   37.69
2011 033   24.85   26.17   52.60   85.05   26.09   98.97   37.78
2011 034   20.48   27.67   47.89   86.88   16.73   99.11   34.89
2011 035   15.02   26.58   43.06   86.98   20.63   98.70   31.79
2011 036   10.42   21.17   39.36   89.10   19.36   99.01   28.11
2011 037    6.58   21.72   39.18   89.04   17.41   99.01   26.64
2011 038    8.37   25.13   44.26   87.59   16.35   98.70   29.06
2011 039    9.18   25.94   47.32   94.09   13.64   99.40   30.68
2011 040   16.79   23.59   46.12   83.23   12.96   98.47   31.58
2011 041   13.41   23.89   50.09   91.40   19.42   99.39   32.60
2011 042   26.03   29.33   49.40   90.46   20.21   99.18   38.24
2011 043   28.22   28.54   55.80   90.42   20.25   99.13   40.39
2011 044   19.70   22.91   54.67   90.11   23.35   99.17   35.93
2011 045   14.60   16.36   33.83   76.19    9.21   98.89   25.28
2011 046   10.70   13.74   32.37   74.37    8.91   99.09   22.73
2011 047   15.32   17.16   40.07   79.17   14.28   98.45   27.87
2011 048   10.77   15.07   40.71   76.68   18.14   98.92   25.93
2011 049    7.67   12.80   38.84   72.89    9.24   98.96   22.84
2011 050    6.13   11.50   21.33   57.86    9.29   94.63   16.39
2011 051   12.45   11.61   20.82   56.58    8.85   93.69   18.45
2011 052   15.89   13.48   36.50   59.05   13.90   93.84   24.46
2011 053   14.39   16.11   44.58   73.22   15.74   93.31   27.89
2011 054   23.37   22.29   52.11   78.14   26.05   94.45   35.58
2011 055   17.19   20.81   63.72   89.89   32.20   98.39   37.33
2011 056   11.40   15.96   60.79   84.22   16.43   97.84   31.73
2011 057   15.25   15.31   48.10   76.20   16.13   97.79   29.19
2011 058   25.08   16.27   48.43   76.23   14.79   97.79   32.98
2011 059   20.80   18.25   58.39   85.56   11.64   94.16   34.87
2011 060   21.37   18.43   60.02   93.59   11.07   97.82   36.23
2011 061   14.19   16.13   49.42   77.76    8.58   97.95   28.89
2011 062   19.40   13.68   54.01   77.73    8.22   95.15   31.30
2011 063   27.26   11.29   51.79   74.48   10.90   94.63   33.00
2011 064   27.27   11.31   51.85   74.56   10.90   94.47   33.02
2011 065   22.53   11.33   52.37   66.37   10.67   95.39   30.64
2011 066   27.55   17.60   55.09   69.03    8.89   93.48   34.65
2011 067   29.26   19.22   49.75   73.32   11.33   87.86   34.93
2011 068   23.54   13.43   61.29   72.67    8.44   91.57   34.02
2011 069   19.67   13.64   45.99   62.18    7.88   82.92   27.95
2011 070   17.65   13.07   41.56   61.58    4.98   89.72   25.78
2011 071   17.07   13.21   39.70   59.36    4.65   89.88   24.93
2011 072   17.07   13.23   39.72   59.33    4.66   89.83   24.94
2011 073   12.21   11.79   30.87   59.65    6.17   79.76   20.83
2011 074   12.24   12.43   52.59   67.14    6.37   77.62   26.87
2011 075   11.93   10.61   35.98   55.32    6.57   67.31   21.26
2011 076   11.29    9.95   40.61   54.53    3.75   83.90   21.76
2011 077   14.27    9.14   40.88   53.55    2.26   88.09   22.55
2011 078   13.66    9.85   42.33   52.88    2.35   84.54   22.76
2011 079    8.82    9.07   30.51   39.72    2.63   60.21   16.69
2011 080    8.82    8.14   37.63   49.53    1.51   56.28   19.00
2011 081    8.30    7.98   30.21   37.77    1.38   43.90   15.84
2011 082    5.21    7.41   24.02   36.72    1.08   39.81   12.97
2011 083    5.39    6.68   22.08   31.42    0.78    9.26   11.78
2011 084    9.38    9.50   31.27   44.37    0.79   52.24   17.44
2011 085   11.83   11.05   29.41   51.22    0.78   42.42   18.85
2011 086   11.24    9.93   30.25   33.42    1.02   14.12   16.82
2011 087   13.96    7.61   33.24   30.63    0.71   21.36   17.75
2011 088   18.10    7.69   32.53   17.20    0.58   13.17   17.81
2011 089   14.34    8.48   45.89   17.72    0.58   19.12   19.87
2011 090   30.07    7.97   31.21   17.37    0.46   19.12   21.96
2011 091   32.23    3.41   30.88   15.94    1.47   25.55   21.61
2011 092   33.64    8.36   32.52   15.94    1.47   25.46   23.63
2011 093   23.01    7.81   25.55   13.22    1.46   10.99   17.65
2011 094    4.55    6.29   19.27    9.32    0.08    0.00    8.55
2011 095    3.49    5.40   16.50    9.08    0.03    0.00    7.28
2011 096    3.18    4.46   13.44    8.24    0.04    0.00    6.15
2011 097    6.63    4.36   13.22    3.08    0.04    0.00    6.85
2011 098    3.36    4.30   13.23    2.70    0.02    0.00    5.61
2011 099    4.02    4.53   12.91    2.68    0.03    0.00    5.82
2011 100    4.03    4.35   14.16    3.98    0.03    1.74    6.21
2011 101    2.48    2.12   10.34    3.36    0.00    0.68    4.17
2011 102    2.19    0.90    7.99    1.10    0.00    0.00    3.01
2011 103    2.18    0.85    7.41    1.11    0.00    0.00    2.86
2011 104    2.06    0.79    7.08    1.03    0.00    0.00    2.72
2011 105    1.79    0.14    5.95    1.01    0.00    0.00    2.20
2011 106    1.49    0.01    5.44    1.26    0.00    0.00    1.96
2011 107    1.38    0.00    2.87    1.25    0.00    0.00    1.31
2011 108    1.23    0.00    1.17    0.08    0.00    0.00    0.73
2011 109    4.60    0.00    1.12    0.11    0.14    0.00    1.97
2011 110    1.24    0.00    0.80    0.03    0.03    0.00    0.65
2011 111    1.24    0.00    0.69    0.00    0.00    0.00    0.62
2011 112    1.20    0.00    0.66    0.00    0.00    0.00    0.60
2011 113    1.20    0.00    0.73    0.00    0.00    0.00    0.61
2011 114    1.16    0.00    0.31    0.00    0.00    0.00    0.50
2011 115    1.13    0.00    0.13    0.00    0.00    0.00    0.44
2011 116    1.09    0.00    0.12    0.00    0.00    0.00    0.43
2011 117    1.02    0.00    0.06    0.00    0.00    0.00    0.39
2011 118    1.03    0.00    0.03    0.00    0.00    0.00    0.38
2011 119    1.42    0.00    0.43    0.00    0.00    0.00    0.62
2011 120    0.95    0.00    0.00    0.00    0.00    0.00    0.35
