                Great Lakes Average Ice Concentration

------------------------------------------------------------------
                       Ice Concentration (%)
 
Year Day    Sup.   Mich.   Huron    Erie    Ont.  St.Clr  GL Total
2013 020    5.67    7.73   10.29    0.14    0.94    2.68    6.36
2013 021    4.63    9.35   10.77    0.02    0.48    0.00    6.40
2013 022    6.90   14.71   22.35   16.17    1.11   94.50   13.13
2013 023    9.13   14.54   26.01   29.74    5.50   89.53   16.35
2013 024    7.84   19.86   27.72   30.53    8.42   95.42   17.80
2013 025   10.87   19.42   28.45   35.93    5.86   91.97   19.28
2013 026   10.07   17.95   27.72   37.83    9.46   91.95   18.93
2013 027   12.38   19.66   34.41   42.99    8.77   99.48   22.21
2013 028    8.29   12.53   30.27   41.09    9.45   99.48   18.00
2013 029    8.09   12.45   18.64   20.32    6.75   99.41   12.99
2013 030    6.43   11.66   16.30   15.84    4.18   78.49   10.96
2013 031    4.09   13.06   15.50   10.23    2.72   85.07    9.62
2013 032    6.74   20.15   18.53    8.88    2.84   87.01   12.80
2013 033   13.10   18.25   23.48    8.26    3.73   87.01   15.88
2013 034   15.57   18.98   25.60    9.37    3.68   86.80   17.55
2013 035   13.25   16.12   31.15   20.38    5.22   95.53   18.56
2013 036   23.09   20.93   40.55   74.77    6.27   94.82   30.65
2013 037   19.57   17.28   31.09   66.31    4.81   94.96   25.39
2013 038   19.89   17.03   37.58   73.28    8.18   96.95   27.90
2013 039   17.74   16.09   25.20   62.94    6.60   93.10   22.86
2013 040   27.42   19.42   31.23   70.05   12.65   89.58   29.68
2013 041   24.60   18.72   40.10   82.22   15.09   93.95   31.94
2013 042   11.02   11.01   24.56   70.14   12.63   94.02   20.23
2013 043   10.22    9.70   18.40   54.87    5.99   93.18   16.25
2013 044    9.49   11.39   21.03   46.03    4.93   83.43   16.04
2013 045   11.73   10.23   21.68   43.06    6.77   89.84   16.64
2013 046   10.82   10.37   21.28   36.92    6.13   82.49   15.59
2013 047   14.19   11.71   18.81   37.00    5.09   82.47   16.47
2013 048   38.65   14.38   31.60   61.59    9.08   91.84   31.69
2013 049   40.50   22.48   42.93   69.12    7.99   90.47   37.51
2013 050   19.00   12.14   40.02   75.64   10.14   96.57   27.42
2013 051   13.40   14.23   28.43   51.42    6.16   82.68   20.47
2013 052   16.19   15.85   30.21   55.24   11.20   91.04   23.04
2013 053   18.07   18.45   45.55   83.70   14.28   94.03   30.88
2013 054   16.38   21.63   37.29   82.96   16.98   93.41   29.13
2013 055   19.68   21.61   33.65   73.18    6.38   93.34   27.77
2013 056   15.88   14.54   29.21   70.10    6.40   92.24   23.44
2013 057   17.45   14.01   33.10   66.69    7.20   92.59   24.56
2013 059   10.26   10.93   22.64   67.39    6.62   66.42   18.67
2013 060    7.87   11.24   18.44   63.64    7.16   77.62   16.60
2013 061    8.71   11.91   21.07   55.11    6.57   68.37   16.80
2013 062   33.59   17.97   30.04   70.64   10.66   83.58   31.21
2013 063   14.81   17.11   35.38   62.38    7.76   74.26   24.40
2013 064   16.77   14.02   37.24   69.25    5.64   78.71   25.37
2013 065   16.27   14.05   30.99   66.44    6.49   70.26   23.47
2013 066   19.16   16.31   31.06   67.01    6.55   63.83   25.09
2013 067   16.08   13.46   28.64   34.04    4.27   62.70   19.48
2013 068   13.46   12.24   23.52   37.94    4.46   63.52   17.41
2013 069   12.76   10.73   23.43   38.13    4.28   68.87   16.82
2013 070    9.79   10.46   20.83   28.93    4.18   41.81   14.08
2013 071    8.69   10.27   20.00   28.86    4.76   50.33   13.51
2013 072   10.91    9.93   17.78    5.94    3.35   38.00   11.41
2013 073    9.60    9.67   15.93    2.00    2.19    7.23    9.86
2013 074   12.68    9.52   18.39    0.83    1.82    3.23   11.39
2013 075   11.68    9.52   17.30    0.45    1.81    2.78   10.72
2013 076   15.89   10.14   16.02    0.45    1.79    4.59   12.10
2013 077   22.70   11.16   19.11    0.52    2.70    0.00   15.61
2013 078   14.75   10.42   17.84    0.34    1.88    1.03   12.17
2013 079   10.21   10.31   16.30    0.25    2.46    1.67   10.15
2013 080   11.97   10.36   17.18    1.06    2.13   55.48   11.28
2013 081   16.65   10.44   18.43    1.08    1.73   54.68   13.27
2013 082   15.24   10.60   19.64    1.07    1.97   50.23   13.08
2013 083   12.12    9.35   17.58    0.84    2.13   45.86   11.14
2013 084    7.58    8.51   15.31    1.16    1.66   33.39    8.70
2013 085    6.80    8.02   12.25    0.22    0.88    0.00    7.30
2013 086    6.17    7.22   12.01    0.27    1.02    0.00    6.84
2013 087    7.07    7.53   11.17    0.24    1.10    0.00    7.05
2013 088   12.46    7.98   11.14    0.26    1.48    0.00    9.14
2013 089   11.58    7.61   10.86    0.17    1.07    0.00    8.63
2013 090    9.50    7.75   10.98    0.14    1.59    0.00    7.96
2013 091    7.33    7.95   10.58    0.13    1.35    0.00    7.11
2013 092    4.65    6.56    9.68    0.00    2.10    0.00    5.64
2013 093    4.77    6.04    9.10    0.07    1.36    0.00    5.38
2013 094    4.90    5.87    9.14    0.07    0.09    0.00    5.31
2013 095    4.90    5.94    9.35    0.05    0.03    0.00    5.37
2013 096    5.71    6.09    9.23    0.06    0.01    0.00    5.66
2013 097    5.37    6.06    9.20    0.06    0.01    0.00    5.53
2013 098    5.78    6.25    9.44    0.06    0.01    0.00    5.78
2013 099    5.39    6.16    8.40    0.00    0.00    0.00    5.36
2013 100    4.65    5.97    8.18    0.00    0.00    0.00    4.99
2013 101    3.94    5.31    8.33    0.03    0.00    0.00    4.63
2013 102    3.45    4.65    7.34    0.00    0.00    0.00    4.06
2013 103    3.47    4.69    7.32    0.00    0.00    0.00    4.07
2013 104    3.61    4.83    7.23    0.00    0.00    0.00    4.13
2013 105    3.14    4.25    7.47    0.00    0.00    0.00    3.89
2013 106    3.20    4.26    7.38    0.00    0.00    0.00    3.89
2013 107    3.52    4.32    7.11    0.00    0.00    0.00    3.95
2013 108    3.15    4.16    7.21    0.00    0.00    0.00    3.81
2013 109    3.21    3.48    6.66    0.00    0.00    0.00    3.55
2013 110    3.64    2.33    6.86    0.00    0.00    0.00    3.49
2013 111    3.24    2.65    5.34    0.00    0.00    0.00    3.06
2013 112    2.74    2.37    5.17    0.00    0.00    0.00    2.77
2013 113    2.86    2.54    4.83    0.00    0.00    0.00    2.77
2013 114    2.48    1.89    4.92    0.00    0.00    0.00    2.50
2013 115    2.20    1.40    5.01    0.00    0.00    0.00    2.31
2013 116    2.00    1.11    4.07    0.00    0.00    0.00    1.95
2013 117    2.00    1.15    3.77    0.00    0.00    0.00    1.89
2013 118    1.83    0.54    3.61    0.00    0.00    0.00    1.65
2013 119    1.81    0.33    2.96    0.00    0.00    0.00    1.44
2013 120    1.84    0.14    2.32    0.00    0.00    0.00    1.26
