                Great Lakes Average Ice Concentration

------------------------------------------------------------------
                       Ice Concentration (%)
 
Year Day    Sup.   Mich.   Huron    Erie    Ont.  St.Clr  GL Total
2021 006    1.69    2.32    3.75    0.09    0.69    0.07    2.09
2021 007    2.07    2.50    2.75    0.08    0.69    0.07    2.04
2021 008    3.39    2.68    3.63    0.00    0.71    0.45    2.76
2021 009    2.76    2.30    6.38    0.13    0.78    0.21    3.12
2021 010    2.03    1.94    4.78    0.19    1.20    0.14    2.42
2021 011    1.97    2.08    5.71    0.33    1.03    0.10    2.66
2021 012    1.61    2.00    4.10    0.09    1.10    1.60    2.11
2021 013    1.66    1.51    3.75    0.09    1.12    0.07    1.94
2021 014    1.67    2.04    3.83    0.09    1.11    0.07    2.07
2021 015    1.50    1.47    3.53    0.05    1.06    0.09    1.80
2021 016    1.22    1.41    2.64    0.05    0.99    0.77    1.48
2021 017    1.18    1.58    2.00    0.01    0.64    0.54    1.31
2021 018    1.51    1.35    3.62    0.00    0.71    0.16    1.77
2021 019    1.58    1.21    4.27    0.00    0.71    0.16    1.92
2021 020    4.43    1.32    6.53    2.65    1.49    5.21    3.85
2021 021    1.75    1.87    5.10    0.32    0.77   10.94    2.40
2021 022    2.02    3.45    5.77    0.08    0.87    2.75    2.97
2021 023    3.92    5.18    9.69    0.09    0.92   30.61    5.10
2021 024    6.30    7.16   18.23    7.04    1.02   36.71    9.14
2021 025    4.02    6.67   15.28    8.82    1.10   33.83    7.65
2021 026    4.01    6.29   13.11    3.77    1.79   24.85    6.59
2021 027    4.53    8.60   13.40    2.66    1.75   15.72    7.23
2021 028    6.80    9.77   17.31   11.15    1.75   64.68   10.24
2021 029   10.25   10.40   15.85   10.82    2.69   44.05   11.25
2021 030   12.37   12.27   22.83   23.02    4.96   87.89   15.59
2021 031    7.16   10.97   23.59   21.62    4.95   87.37   13.44
2021 032    6.68   10.14   18.26   10.64    4.43   64.95   10.65
2021 033    6.77   10.93   20.84   14.23    4.03   78.22   11.84
2021 034    5.80   12.90   19.50   13.15    3.54   77.87   11.47
2021 035    6.74   11.95   21.08   15.94    3.52   91.05   12.29
2021 036    3.64   11.22   12.39   12.18    2.59   53.34    8.35
2021 037    5.51   13.43   16.57   32.60    3.39   84.40   12.62
2021 038    7.82   17.36   24.16   45.91   10.71   92.95   17.98
2021 039    9.27   20.17   22.41   47.13    8.23   92.96   18.65
2021 040   11.44   19.07   32.20   81.24    9.26   94.65   24.81
2021 041   12.22   17.68   32.31   77.13    8.27   94.65   24.35
2021 042   14.96   21.26   35.10   76.28   11.25   95.41   26.97
2021 043   22.98   27.93   37.86   73.93   11.62   93.82   31.86
2021 044   28.76   25.45   37.91   77.60   14.14   95.41   33.96
2021 045   31.33   24.30   46.65   78.02   16.97   95.41   36.97
2021 046   32.98   27.27   42.36   81.73   19.27   95.41   37.73
2021 047   44.36   28.69   42.95   81.08   17.45   95.41   42.16
2021 048   41.72   29.95   38.81   79.04   14.08   95.41   40.05
2021 049   46.43   33.27   42.06   81.69   20.63   95.41   44.02
2021 050   50.62   31.27   46.67   79.31   18.66   95.41   45.84
2021 051   48.88   24.88   48.28   85.65   18.02   99.30   44.71
2021 052   48.07   26.68   43.53   81.11   13.18   99.58   42.91
2021 053   40.21   18.69   31.70   70.18    7.25   99.58   33.95
2021 054   35.74   14.87   27.66   68.26    5.49   99.58   30.19
2021 055   29.21   14.37   27.47   63.15    5.47   99.01   27.16
2021 056   26.80   14.35   24.91   57.94    4.54   96.89   25.11
2021 057   25.89   12.17   23.01   46.65    5.37   93.88   22.81
2021 058   15.95   11.01   18.40   46.23    3.79   88.77   17.65
2021 059   12.21   11.87   17.80   44.76    3.79   92.14   16.21
2021 060    7.79   10.62   15.53   35.66    3.57   77.77   12.85
2021 061   12.98   11.45   19.25   38.18    4.19   69.86   16.07
2021 062   12.73    9.06   18.70   35.43    4.10   71.53   15.05
2021 063   12.35   10.65   17.78   32.03    4.69   71.22   14.77
2021 064   13.70   12.65   21.42   17.60    2.81   64.17   15.07
2021 065   10.49    9.40   19.44   10.72    3.78   54.09   12.07
2021 066   18.38    9.68   21.20   13.61    9.65   53.74   16.14
2021 067   14.91   10.37   24.12   41.42   11.80   44.45   18.45
2021 068   13.83   10.25   20.26   18.03   10.61   55.51   14.88
2021 069   11.59    9.62   17.37   12.47    6.85   47.57   12.40
2021 070    9.80    7.97   14.67    7.37    3.53    7.83    9.85
2021 071    5.18    7.63   12.33    4.08    2.71    2.87    7.14
2021 072    4.02    6.77   11.62    1.10    2.63    0.07    6.06
2021 073    4.22    6.92   10.73    0.69    2.03    0.00    5.87
2021 074    6.79    7.57   14.12    0.99    2.08    0.00    7.80
2021 075    6.71    7.14   14.82    0.94    1.96    0.00    7.83
2021 076    6.46    6.82   13.32    1.07    1.93    0.00    7.31
2021 077    5.30    6.54   13.24    1.35    1.98    0.00    6.84
2021 078    8.74    7.18   12.10    0.77    2.11    0.00    7.92
2021 079    6.23    5.36    9.90    2.23    2.18    0.00    6.21
2021 080    4.61    4.88    9.33    5.15    1.27    0.00    5.59
2021 081    3.32    3.25    8.19    0.43    1.13    0.00    4.02
2021 082    3.16    2.24    8.19    0.33    1.12    0.00    3.72
2021 083    3.02    2.72    8.04    0.14    1.07    0.00    3.73
2021 084    2.95    1.84    7.09    0.00    0.64    0.00    3.23
2021 085    2.46    2.20    6.84    0.00    0.84    0.00    3.09
2021 086    2.21    1.06    6.12    0.00    0.00    0.00    2.51
2021 087    2.21    1.20    5.47    0.00    0.00    0.00    2.38
2021 088    2.17    0.54    4.49    0.00    0.00    0.00    1.99
2021 089    1.74    0.19    4.37    0.00    0.00    0.00    1.72
2021 090    1.64    0.02    3.65    0.00    0.00    0.00    1.47
2021 091    1.66    0.00    2.89    0.00    0.00    0.00    1.30
2021 092    1.50    0.00    1.96    0.00    0.00    0.00    1.02
2021 093    1.30    0.00    1.92    0.00    0.00    0.00    0.93
2021 094    1.44    0.00    1.88    0.00    0.00    0.00    0.98
2021 095    1.41    0.00    1.89    0.00    0.00    0.00    0.96
2021 096    1.30    0.00    1.53    0.00    0.00    0.00    0.84
2021 097    1.20    0.00    1.19    0.00    0.00    0.00    0.72
2021 098    1.09    0.00    0.87    0.00    0.00    0.00    0.61
2021 099    0.99    0.00    0.60    0.00    0.00    0.00    0.51
2021 100    0.96    0.00    0.01    0.00    0.00    0.00    0.36
2021 101    0.94    0.00    0.00    0.00    0.00    0.00    0.34
2021 102    0.92    0.00    0.00    0.00    0.00    0.00    0.34
2021 103    0.85    0.00    0.00    0.00    0.00    0.00    0.31
2021 104    0.85    0.00    0.00    0.00    0.00    0.00    0.31
2021 105    0.86    0.00    0.00    0.00    0.00    0.00    0.31
2021 106    0.68    0.00    0.00    0.00    0.00    0.00    0.25
2021 107    0.56    0.00    0.00    0.00    0.00    0.00    0.20
2021 108    0.53    0.00    0.00    0.00    0.00    0.00    0.19
2021 109    0.49    0.00    0.00    0.00    0.00    0.00    0.18
2021 110    0.18    0.00    0.00    0.00    0.00    0.00    0.07
2021 111    0.18    0.00    0.00    0.00    0.00    0.00    0.07
2021 112    0.17    0.00    0.00    0.00    0.00    0.00    0.06
2021 113    0.18    0.00    0.00    0.00    0.00    0.00    0.07
2021 114    0.13    0.00    0.00    0.00    0.00    0.00    0.05
2021 115    0.09    0.00    0.00    0.00    0.00    0.00    0.03
2021 116    0.05    0.00    0.00    0.00    0.00    0.00    0.02
2021 117    0.05    0.00    0.00    0.00    0.00    0.00    0.02
2021 118    0.00    0.00    0.00    0.00    0.00    0.00    0.00
2021 119    0.00    0.00    0.00    0.00    0.00    0.00    0.00
